solver,instance,verdict,cpu_time,wall_time,maxrss_kb,exit_code
sat-solver,00d5a43a481477fa4d56a2ce152a6cfb-st_890_86_9_572.normalised.cnf,TIMEOUT,60.059,60.167,97340,0
minisat,00d5a43a481477fa4d56a2ce152a6cfb-st_890_86_9_572.normalised.cnf,TIMEOUT,59.996,60.129,112916,0
cadical,00d5a43a481477fa4d56a2ce152a6cfb-st_890_86_9_572.normalised.cnf,TIMEOUT,59.998,60.277,52984,-1
kissat,00d5a43a481477fa4d56a2ce152a6cfb-st_890_86_9_572.normalised.cnf,TIMEOUT,59.996,60.198,56996,-1
sat-solver,00fd8ac9acd186a7a78a2c4d92f90de1-2.normalised.cnf,UNKNOWN,0.439,0.440,1214908,1
minisat,00fd8ac9acd186a7a78a2c4d92f90de1-2.normalised.cnf,UNKNOWN,5.964,5.976,3782192,0
cadical,00fd8ac9acd186a7a78a2c4d92f90de1-2.normalised.cnf,ERROR,1.725,1.812,4063128,-1
kissat,00fd8ac9acd186a7a78a2c4d92f90de1-2.normalised.cnf,ERROR,4.007,4.106,3403700,-1
sat-solver,0205e2dffaef93a90c239df31755f2e1-bp4_CSO_AM_IXA_LP.normalised.cnf,TIMEOUT,61.853,61.953,252104,0
minisat,0205e2dffaef93a90c239df31755f2e1-bp4_CSO_AM_IXA_LP.normalised.cnf,TIMEOUT,60.005,60.146,377980,0
cadical,0205e2dffaef93a90c239df31755f2e1-bp4_CSO_AM_IXA_LP.normalised.cnf,UNSAT,37.874,37.954,207592,20
kissat,0205e2dffaef93a90c239df31755f2e1-bp4_CSO_AM_IXA_LP.normalised.cnf,TIMEOUT,59.997,60.183,99384,-1
sat-solver,032941f5f28c9ac53fa1c80d35f3206f-GP_216_290_40.cnf,TIMEOUT,65.046,65.128,1655252,-1
minisat,032941f5f28c9ac53fa1c80d35f3206f-GP_216_290_40.cnf,TIMEOUT,60.070,60.201,3002632,0
cadical,032941f5f28c9ac53fa1c80d35f3206f-GP_216_290_40.cnf,SAT,5.086,5.095,3535348,10
kissat,032941f5f28c9ac53fa1c80d35f3206f-GP_216_290_40.cnf,SAT,2.875,2.881,1992236,10
sat-solver,03e852aa864cfe6eb49c264b462b8157-gm24sparrc.cnf,UNSAT,12.627,12.646,84932,20
minisat,03e852aa864cfe6eb49c264b462b8157-gm24sparrc.cnf,UNSAT,0.128,0.128,33840,20
